0;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
13756;;ј-а-а;ј-ј-ј;INTJ;;;_ј-а-а_ € жду по€влени€;а;-;а;-;а;;CONJ;ј-ј-ј;CONJ;ј
13757;;€;я;SPRO sg 1p - nom;;;ј-а-а _€_ жду по€влени€ афиши;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
13758;;жду;∆ƒј“№;V ipf praes sg indic - 1p;;;ј-а-а € _жду_ по€влени€ афиши на;у;д;ж;;;;V;∆ƒј“№;V ipf praes sg indic - 1p;№
13759;;по€влени€;ѕќя¬Ћ≈Ќ»≈;S n inan gen sg;;;ј-а-а € жду _по€влени€_ афиши на сайте;€;и;н;е;л;в;S;ѕќя¬Ћ≈Ќ»≈;S n inan gen sg;≈
13760;;афиши;ј‘»Ўј;S f inan gen sg;;;€ жду по€влени€ _афиши_ на сайте ,;и;ш;и;ф;а;;S;ј‘»Ўј;S f inan gen sg;ј
13761;;на;Ќј;PR;;;жду по€влени€ афиши _на_ сайте , это;а;н;;;;;PR;Ќј;PR;ј
13762;;сайте;—ј…“;S m inan loc sg;;;по€влени€ афиши на _сайте_ , это всЄ;е;т;й;а;с;;S;—ј…“;S m inan loc sg;“
13763;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13764;;это;Ё“ќ;SPRO n - nom sg;;;на сайте , _это_ всЄ , что;о;т;э;;;;SPRO;Ё“ќ;S n - nom sg;ќ
13765;;всЄ;¬—≈;S - - acc pl;;;сайте , это _всЄ_ , что €;Є;с;в;;;;S;¬—≈;S - - acc pl;≈
13766;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13767;;что;„“ќ;CONJ;;;это всЄ , _что_ € пока знаю;о;т;ч;;;;CONJ;„“ќ;CONJ;ќ
13768;;€;я;SPRO sg 1p - nom;;;всЄ , что _€_ пока знаю .;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
13769;;пока;ѕќ ј;ADV -;;;, что € _пока_ знаю .;а;к;о;п;;;ADV;ѕќ ј;ADV -;ј
13770;;знаю;«Ќј“№;V ipf praes sg indic - 1p;;;что € пока _знаю_ .;ю;а;н;з;;;V;«Ќј“№;V ipf praes sg indic - 1p;№
13771;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
13772;;;;;;;;;;;;;;;;;
13773;# sent = 1070;;;;;;;;;;;;;;;;
13774;;¬от;¬ќ“;PART;;;. _¬от_ .;т;о;в;;;;PART;¬ќ“;PART;“
13775;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
13776;;;;;;;;;;;;;;;;;
13777;# sent = 1071;;;;;;;;;;;;;;;;
13778;# speaker = я;;;;;;;;;;;;;;;;
13779;# sent = 1072;;;;;;;;;;;;;;;;
13780;;¬;¬;PR;;;_¬_ смысле ...;в;;;;;;PR;¬;PR;¬
13781;;смысле;—ћџ—Ћ;S m inan loc sg;;;¬ _смысле_ ...;е;л;с;ы;м;с;S;—ћџ—Ћ;S m inan loc sg;Ћ
13782;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
13783;;;;;;;;;;;;;;;;;
13784;# sent = 1073;;;;;;;;;;;;;;;;
13785;# speaker =  от;;;;;;;;;;;;;;;;
13786;# sent = 1074;;;;;;;;;;;;;;;;
13787;;Ќу;Ќ”;PART;;;_Ќу_ , в ћоскве;у;н;;;;;PART;Ќ”;PART;”
13788;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13789;;в;¬;PR;;;Ќу , _в_ ћоскве ... а;в;;;;;;PR;¬;PR;¬
13790;;ћоскве;ћќ— ¬ј;S f inan loc sg;;;Ќу , в _ћоскве_ ... а ?;е;в;к;с;о;м;S;ћќ— ¬ј;S m inan gen sg;ј
13791;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
13792;;а;ј;PART;;;в ћоскве ... _а_ ?;а;;;;;;PART;ј;PART;ј
13793;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
13794;;;;;;;;;;;;;;;;;
13795;# sent = 1075;;;;;;;;;;;;;;;;
13796;# speaker = я;;;;;;;;;;;;;;;;
13797;# sent = 1076;;;;;;;;;;;;;;;;
13798;;Ќу;Ќ”;PART;;;_Ќу_ вот ты была;у;н;;;;;PART;Ќ”;PART;”
13799;;вот;¬ќ“;PART;;;Ќу _вот_ ты была в;т;о;в;;;;PART;¬ќ“;PART;“
13800;;ты;“џ;SPRO sg 2p - nom;;;Ќу вот _ты_ была в ќмске;ы;т;;;;;SPRO;“џ;SPRO sg 2p - nom;џ
13801;;была;Ѕџ“№;V ipf praet sg indic f -;;;Ќу вот ты _была_ в ќмске на;а;л;ы;б;;;V;Ѕџ“№;V ipf praet sg indic f -;№
13802;;в;¬;PR;;;вот ты была _в_ ќмске на  анцлере;в;;;;;;PR;¬;PR;¬
13803;;ќмске;ќћ— ;S m inan loc sg;;;ты была в _ќмске_ на  анцлере .;е;к;с;м;о;;S;ќћ— ;S m inan loc sg; 
13804;;на;Ќј;PR;;;была в ќмске _на_  анцлере .;а;н;;;;;PR;Ќј;PR;ј
13805;; анцлере; јЌ÷Ћ≈–;S m anim loc sg;;;в ќмске на _ анцлере_ .;е;р;е;л;ц;н;S; јЌ÷Ћ≈–;S m inan loc sg;–
13806;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
13807;;;;;;;;;;;;;;;;;
13808;# sent = 1077;;;;;;;;;;;;;;;;
13809;# speaker =  от;;;;;;;;;;;;;;;;
13810;# sent = 1078;;;;;;;;;;;;;;;;
13811;;ƒа;ƒј;CONJ;;;_ƒа_ , два раза;а;д;;;;;CONJ;ƒј;CONJ;ј
13812;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13813;;два;ƒ¬ј;NUM gen m inan;;;ƒа , _два_ раза .;а;в;д;;;;NUM;ƒ¬ј;NUM acc m inan;ј
13814;;раза;–ј«;S m inan gen sg;;;ƒа , два _раза_ .;а;з;а;р;;;S;–ј«;S m inan gen sg;«
13815;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
13816;;;;;;;;;;;;;;;;;
13817;# sent = 1079;;;;;;;;;;;;;;;;
13818;;ѕервый;ѕ≈–¬џ…;ANUM - nom sg plen m -;;;. _ѕервый_ раз , короче;й;ы;в;р;е;п;A;ѕ≈–¬џ…;A - nom sg plen m -;…
13819;;раз;–ј«;S m inan nom sg;;;ѕервый _раз_ , короче ...;з;а;р;;;;S;–ј«;S m inan acc sg;«
13820;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13821;;короче; ќ–ќ„≈;PARENTH;;;ѕервый раз , _короче_ ...;е;ч;о;р;о;к;ADV; ќ–ќ„≈;ADV comp;≈
13822;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
13823;;;;;;;;;;;;;;;;;
13824;# sent = 1080;;;;;;;;;;;;;;;;
13825;# speaker = я;;;;;;;;;;;;;;;;
13826;# sent = 1081;;;;;;;;;;;;;;;;
13827;;ј;ј;CONJ;;;_ј_ мен€ не было;а;;;;;;CONJ;ј;CONJ;ј
13828;;мен€;я;SPRO sg 1p - gen;;;ј _мен€_ не было .;€;н;е;м;;;SPRO;я;SPRO sg 1p - acc;я
13829;;не;Ќ≈;PART;;;ј мен€ _не_ было .;е;н;;;;;PART;Ќ≈;PART;≈
13830;;было;Ѕџ“№;V ipf praet sg indic n -;;;ј мен€ не _было_ .;о;л;ы;б;;;V;Ѕџ“№;V ipf praet sg indic n -;№
13831;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
13832;;;;;;;;;;;;;;;;;
13833;# sent = 1082;;;;;;;;;;;;;;;;
13834;;¬от;¬ќ“;PART;;;. _¬от_ .;т;о;в;;;;PART;¬ќ“;PART;“
13835;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
13836;;;;;;;;;;;;;;;;;
13837;# sent = 1083;;;;;;;;;;;;;;;;
13838;;“ак что;“ак что;CONJ;;;. _“ак что_ рассказывай .;о;т;ч;;к;а;CONJ;“ак что;CONJ;о
13839;;рассказывай;–ј—— ј«џ¬ј“№;V ipf - sg imper - 2p;;;“ак что _рассказывай_ .;й;а;в;ы;з;а;V;–ј—— ј«џ¬ј“№;V ipf - sg imper - 2p;№
13840;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
13841;;;;;;;;;;;;;;;;;
13842;# sent = 1084;;;;;;;;;;;;;;;;
13843;# speaker =  от;;;;;;;;;;;;;;;;
13844;# sent = 1085;;;;;;;;;;;;;;;;
13845;;ј;ј;CONJ;;;_ј_ что рассказывать ?;а;;;;;;CONJ;ј;CONJ;ј
13846;;что;„“ќ;ADVPRO;;;ј _что_ рассказывать ?;о;т;ч;;;;ADVPRO;„“ќ;S n inan acc sg;ќ
13847;;рассказывать;–ј—— ј«џ¬ј“№;V ipf - - inf - -;;;ј что _рассказывать_ ?;ь;т;а;в;ы;з;V;–ј—— ј«џ¬ј“№;V ipf - - inf - -;№
13848;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
13849;;;;;;;;;;;;;;;;;
13850;# sent = 1086;;;;;;;;;;;;;;;;
13851;# speaker = я;;;;;;;;;;;;;;;;
13852;# sent = 1087;;;;;;;;;;;;;;;;
13853;;¬сЄ;¬—≈;S n - gen sg;;;_¬сЄ_ .;Є;с;в;;;;S;¬—≈;S n - nom sg;≈
13854;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
13855;;;;;;;;;;;;;;;;;
13856;# sent = 1088;;;;;;;;;;;;;;;;
13857;;¬;¬;PR;;;. _¬_ смысле , мне;в;;;;;;PR;¬;PR;¬
13858;;смысле;—ћџ—Ћ;S m inan loc sg;;;¬ _смысле_ , мне интересно;е;л;с;ы;м;с;S;—ћџ—Ћ;S m inan loc sg;Ћ
13859;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13860;;мне;я;SPRO sg 1p - dat;;;¬ смысле , _мне_ интересно .;е;н;м;;;;SPRO;я;SPRO sg 1p - dat;я
13861;;интересно;»Ќ“≈–≈—Ќќ;ADV -;;;смысле , мне _интересно_ .;о;н;с;е;р;е;ADV;»Ќ“≈–≈—Ќќ;ADV -;ќ
13862;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
13863;;;;;;;;;;;;;;;;;
13864;# sent = 1089;;;;;;;;;;;;;;;;
13865;;ƒавай;ƒј¬ј“№;V ipf - sg imper - 2p;;;. _ƒавай_ .;й;а;в;а;д;;V;ƒј¬ј“№;V ipf - sg imper - 2p;№
13866;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
13867;;;;;;;;;;;;;;;;;
13868;# sent = 1090;;;;;;;;;;;;;;;;
13869;# speaker =  от;;;;;;;;;;;;;;;;
13870;# sent = 1091;;;;;;;;;;;;;;;;
13871;;я;я;SPRO sg 1p - nom;;;_я_ же рассказывала !;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
13872;;же;∆≈;PART;;;я _же_ рассказывала !;е;ж;;;;;PART;∆≈;PART;≈
13873;;рассказывала;–ј—— ј«џ¬ј“№;V ipf praet sg indic f -;;;я же _рассказывала_ !;а;л;а;в;ы;з;V;–ј—— ј«џ¬ј“№;V ipf praet sg indic f -;№
13874;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
13875;;;;;;;;;;;;;;;;;
13876;# sent = 1092;;;;;;;;;;;;;;;;
13877;;ѕервый;ѕ≈–¬џ…;ANUM - nom sg plen m -;;;! _ѕервый_ раз , короче;й;ы;в;р;е;п;A;ѕ≈–¬џ…;A - nom sg plen m -;…
13878;;раз;–ј«;S m inan acc sg;;;ѕервый _раз_ , короче ,;з;а;р;;;;S;–ј«;S m inan acc sg;«
13879;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13880;;короче; ќ–ќ„≈;PARENTH;;;ѕервый раз , _короче_ , пошла в;е;ч;о;р;о;к;ADV; ќ–ќ„≈;ADV comp;≈
13881;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13882;;пошла;ѕќ…“»;V pf praet sg indic f -;;;", короче , _пошла_ в "" ¬икинг";а;л;ш;о;п;;V;ѕќ…“»;V pf praet sg indic f -;»
13883;;в;¬;PR;;;"короче , пошла _в_ "" ¬икинг """;в;;;;;;PR;¬;PR;¬
13884;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
13885;;¬икинг;¬» »Ќ√;S m anim nom sg;;;"пошла в "" _¬икинг_ "" , мне";г;н;и;к;и;в;S;¬» »Ќ√;S m anim nom sg;√
13886;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
13887;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13888;;мне;я;SPRO sg 1p - dat;;;"¬икинг "" , _мне_ было п€тнадцать лет";е;н;м;;;;SPRO;я;SPRO sg 1p - dat;я
13889;;было;Ѕџ“№;V ipf praet sg indic n -;;;""" , мне _было_ п€тнадцать лет ,";о;л;ы;б;;;V;Ѕџ“№;V ipf praet sg indic n -;№
13890;;п€тнадцать;ѕя“Ќјƒ÷ј“№;NUM nom - -;;;, мне было _п€тнадцать_ лет , и;ь;т;а;ц;д;а;NUM;ѕя“Ќјƒ÷ј“№;NUM acc - -;№
13891;;лет;√ќƒ;S m inan gen pl;;;мне было п€тнадцать _лет_ , и €;т;е;л;;;;S;√ќƒ;S m inan gen pl;ƒ
13892;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13893;;и;»;CONJ;;;п€тнадцать лет , _и_ € така€ :;и;;;;;;CONJ;»;CONJ;»
13894;;€;я;SPRO sg 1p - nom;;;"лет , и _€_ така€ : """;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
13895;;така€;“ј ќ…;APRO - nom sg plen f -;;;", и € _така€_ : "" „то";€;а;к;а;т;;APRO;“ј ќ…;A - nom sg plen f -;…
13896;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
13897;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
13898;;„то;„“ќ;CONJ;;;"така€ : "" _„то_ происходит , куда";о;т;ч;;;;CONJ;„“ќ;CONJ;ќ
13899;;происходит;ѕ–ќ»—’ќƒ»“№;V ipf praes sg indic - -;;;": "" „то _происходит_ , куда идти";т;и;д;о;х;с;V;ѕ–ќ»—’ќƒ»“№;V ipf praes sg indic - 3p;№
13900;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13901;;куда; ”ƒј;ADV -;;;„то происходит , _куда_ идти , какие-то;а;д;у;к;;;ADV; ”ƒј;ADV -;ј
13902;;идти;»ƒ“»;V ipf - - inf - -;;;происходит , куда _идти_ , какие-то пь€ные;и;т;д;и;;;V;»ƒ“»;V ipf - - inf - -;»
13903;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13904;;какие-то; ј ќ…-“ќ;APRO - nom pl plen - -;;;куда идти , _какие-то_ пь€ные мужики ...;о;т;-;е;и;к;APRO; ј ќ…-“ќ;A - nom pl plen - -;ќ
13905;;пь€ные;ѕ№яЌџ…;A - nom pl plen - -;;;идти , какие-то _пь€ные_ мужики ...;е;ы;н;€;ь;п;A;ѕ№яЌџ…;A - nom pl plen - -;…
13906;;мужики;ћ”∆» ;S m anim nom pl;;;, какие-то пь€ные _мужики_ ...;и;к;и;ж;у;м;S;ћ”∆» ;S m anim nom pl; 
13907;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
13908;;;;;;;;;;;;;;;;;
13909;# sent = 1093;;;;;;;;;;;;;;;;
13910;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
13911;;»;»;CONJ;;;""" _»_ ... и ,";и;;;;;;CONJ;»;CONJ;»
13912;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
13913;;и;»;CONJ;;;""" » ... _и_ , ну ,";и;;;;;;CONJ;»;CONJ;»
13914;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13915;;ну;Ќ”;PART;;;... и , _ну_ , то есть ,;у;н;;;;;PART;Ќ”;PART;”
13916;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13917;;то есть;то есть;CONJ;;;, ну , _то есть_ , не пь€ные;ь;т;с;е;;о;CONJ;то есть;ADV -;ь
13918;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13919;;не;Ќ≈;PART;;;, то есть , _не_ пь€ные были ,;е;н;;;;;PART;Ќ≈;PART;≈
13920;;пь€ные;ѕ№яЌџ…;A - nom pl plen - -;;;то есть , не _пь€ные_ были , сто€ли;е;ы;н;€;ь;п;A;ѕ№яЌџ…;A - nom pl plen - -;…
13921;;были;Ѕџ“№;V ipf praet pl indic - -;;;, не пь€ные _были_ , сто€ли курили;и;л;ы;б;;;V;Ѕџ“№;V ipf praet pl indic - -;№
13922;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13923;;сто€ли;—“ќя“№;V ipf praet pl indic - -;;;пь€ные были , _сто€ли_ курили , но;и;л;€;о;т;с;V;—“ќя“№;V ipf praet pl indic - -;№
13924;;курили; ”–»“№;V ipf praet pl indic - -;;;были , сто€ли _курили_ , но это;и;л;и;р;у;к;V; ”–»“№;V ipf praet pl indic - -;№
13925;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13926;;но;Ќќ;CONJ;;;сто€ли курили , _но_ это был тЄмный;о;н;;;;;CONJ;Ќќ;CONJ;ќ
13927;;это;Ё“ќ;SPRO n - nom sg;;;курили , но _это_ был тЄмный двор;о;т;э;;;;SPRO;Ё“ќ;S n - nom sg;ќ
13928;;был;Ѕџ“№;V ipf praet sg indic m -;;;, но это _был_ тЄмный двор ,;л;ы;б;;;;V;Ѕџ“№;V ipf praet sg indic m -;№
13929;;тЄмный;“≈ћЌџ…;A - nom sg plen m inan;;;но это был _тЄмный_ двор , зима;й;ы;н;м;Є;т;A;“≈ћЌџ…;A - acc sg plen m inan;…
13930;;двор;ƒ¬ќ–;S m inan nom sg;;;это был тЄмный _двор_ , зима ,;р;о;в;д;;;S;ƒ¬ќ–;S m inan acc sg;–
13931;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13932;;зима;«»ћј;S f inan nom sg;;;тЄмный двор , _зима_ , лес ,;а;м;и;з;;;S;«»ћј;S f inan nom sg;ј
13933;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13934;;лес;Ћ≈—;S m inan nom sg;;;, зима , _лес_ , ночь ...;с;е;л;;;;S;Ћ≈—;S m inan nom sg;—
13935;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13936;;ночь;Ќќ„№;S f inan nom sg;;;, лес , _ночь_ ... ну ,;ь;ч;о;н;;;S;Ќќ„№;S m inan gen sg;№
13937;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
13938;;ну;Ќ”;PART;;;, ночь ... _ну_ , не лес;у;н;;;;;PART;Ќ”;PART;”
13939;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13940;;не;Ќ≈;PART;;;... ну , _не_ лес , не;е;н;;;;;PART;Ќ≈;PART;≈
13941;;лес;Ћ≈—;S m inan nom sg;;;ну , не _лес_ , не важно;с;е;л;;;;S;Ћ≈—;S m inan nom sg;—
13942;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13943;;не;Ќ≈;PART;;;не лес , _не_ важно ... ну;е;н;;;;;PART;Ќ≈;PART;≈
13944;;важно;¬ј∆Ќџ…;A - - sg brev n -;;;лес , не _важно_ ... ну ,;о;н;ж;а;в;;A;¬ј∆Ќќ;ADV -;…
13945;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
13946;;ну;Ќ”;PART;;;не важно ... _ну_ , там ,;у;н;;;;;PART;Ќ”;PART;”
13947;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13948;;там;“јћ;PARENTH;;;... ну , _там_ , черта города;м;а;т;;;;ADV;“јћ;ADV -;ћ
13949;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13950;;черта;„≈–“ј;S f inan nom sg;;;, там , _черта_ города ,;а;т;р;е;ч;;S;„≈–“;S f inan nom sg;ј
13951;;города;√ќ–ќƒ;S m inan gen sg;;;там , черта _города_ , кый-то;а;д;о;р;о;г;S;√ќ–ќƒ;S m inan gen sg;ƒ
13952;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13953;"<distinct form=""";;;;;;;;;;;;;;;;
13954;<dist>;кый-то;;;;;;;;;;;;;;;
13955;""">";;;;;;;;;;;;;;;;
13956;;какой-то; ј ќ…-“ќ;APRO - nom sg plen f -;;;кый-то _какой-то_ двор тЄмный;о;т;-;й;о;к;APRO; ј ќ…-“ќ;A - gen sg plen f -;ќ
13957;</distinct>;;;;;;;;;;;;;;;;
13958;;двор;ƒ¬ќ–;S m inan acc sg;;;какой-то _двор_ тЄмный ...;р;о;в;д;;;S;ƒ¬ќ–;S m inan acc sg;–
13959;;тЄмный;“≈ћЌџ…;A - nom sg plen m inan;;;какой-то двор _тЄмный_ ...;й;ы;н;м;Є;т;A;“≈ћЌџ…;A - acc sg plen m inan;…
13960;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
13961;;;;;;;;;;;;;;;;;
13962;# sent = 1094;;;;;;;;;;;;;;;;
13963;;я;я;SPRO sg 1p - nom;;;"... _я_ така€ : """;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
13964;;така€;“ј ќ…;APRO - nom sg plen f -;;;"я _така€_ : "" я";€;а;к;а;т;;APRO;“ј ќ…;A - nom sg plen f -;…
13965;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
13966;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
13967;;я;я;SPRO sg 1p - nom;;;"така€ : "" _я_ иду на концерт";€;;;;;;SPRO;я;SPRO sg 1p - nom;я
13968;;иду;»ƒ“»;V ipf praes sg indic - 1p;;;": "" я _иду_ на концерт ...";у;д;и;;;;V;»ƒ“»;V ipf praes sg indic - 1p;»
13969;;на;Ќј;PR;;;""" я иду _на_ концерт ...";а;н;;;;;PR;Ќј;PR;ј
13970;;концерт; ќЌ÷≈–“;S m inan acc sg;;;я иду на _концерт_ ...;т;р;е;ц;н;о;S; ќЌ÷≈–“;S m inan acc sg;“
13971;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
13972;;;;;;;;;;;;;;;;;
13973;# sent = 1095;;;;;;;;;;;;;;;;
13974;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
13975;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13976;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
13977;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
13978;;€;я;SPRO sg 1p - nom;;;, - - _€_ , причЄм ,;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
13979;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13980;;причЄм;ѕ–»„≈ћ;CONJ;;;- € , _причЄм_ , шла ,;м;Є;ч;и;р;п;CONJ;ѕ–»„≈ћ;CONJ;ћ
13981;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13982;;шла;»ƒ“»;V ipf praet sg indic f -;;;, причЄм , _шла_ , € была;а;л;ш;;;;V;»ƒ“»;V ipf praet sg indic f -;»
13983;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13984;;€;я;SPRO sg 1p - nom;;;, шла , _€_ была у подруги;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
13985;;была;Ѕџ“№;V ipf praet sg indic f -;;;шла , € _была_ у подруги гостила;а;л;ы;б;;;V;Ѕџ“№;V ipf praet sg indic f -;№
13986;;у;”;PR;;;, € была _у_ подруги гостила ,;у;;;;;;PR;”;PR;”
13987;;подруги;ѕќƒ–”√ј;S f anim gen sg;;;€ была у _подруги_ гостила , мы;и;г;у;р;д;о;S;ѕќƒ–”√ј;S f anim gen sg;ј
13988;;гостила;√ќ—“»“№;V ipf praet sg indic f -;;;была у подруги _гостила_ , мы с;а;л;и;т;с;о;V;√ќ—“»“№;V ipf praet sg indic f -;№
13989;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13990;;мы;ћџ;SPRO pl 1p - nom;;;подруги гостила , _мы_ с ними очень;ы;м;;;;;SPRO;ћџ;SPRO pl 1p - nom;џ
13991;;с;—;PR;;;гостила , мы _с_ ними очень мило;с;;;;;;PR;—;PR;—
13992;;ними;ќЌ»;SPRO pl - - ins;;;, мы с _ними_ очень мило пили;и;м;и;н;;;SPRO;ќЌ»;SPRO pl - - ins;»
